日期,憤怒,羨慕,恐懼,悲傷,希望,快樂,愛,厭惡,不滿,評分,入睡,時常,平均,社交,遊戲,娛樂,其他,氣溫,濕度,日照,空氣品質
2018/12/1,0,3,0,0,1,5,0,0,0,Calm,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/1,2,0,0,0,6,10,12,1,0,Happy,4,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/1,0,3,1,0,3,5,5,0,0,Calm,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/1,3,1,0,2,3,7,2,2,2,Calm,3,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/1,0,0,0,0,4,10,3,5,3,Happy,1,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/2,0,1,0,4,4,0,0,1,0,Calm,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/2,0,0,1,0,6,10,6,0,0,Happy,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/2,0,0,1,1,1,3,2,0,0,Calm,2,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/2,5,1,2,4,3,2,0,1,3,Depress,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/2,2,0,0,0,2,6,0,5,3,Calm,2,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/3,0,2,1,0,1,2,0,1,0,Calm,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/3,9,0,3,0,3,10,7,3,10,Happy,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/3,0,1,0,2,1,5,1,0,2,Calm,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/3,0,2,0,0,3,8,2,0,3,Happy,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/3,2,0,0,0,0,5,0,0,7,Angry,3,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/4,0,1,2,5,0,4,0,1,2,Calm,2,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/4,10,0,1,8,0,3,0,6,10,Angry,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/4,3,0,4,0,3,8,3,0,4,Happy,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/4,6,2,4,7,0,2,0,2,8,Angry,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/4,2,0,0,0,3,2,0,0,0,Calm,1,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,5,2
2018/12/5,2,0,3,2,2,5,2,1,2,Angry,3,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/5,7,0,5,0,0,4,0,3,6,Angry,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/5,2,3,4,5,1,1,2,3,3,Depress,4,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/5,3,0,2,4,0,0,0,1,6,Depress,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,2,1
2018/12/5,4,0,2,5,0,4,3,6,8,Angry,3,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/6,0,0,0,5,1,1,0,0,0,Calm,2,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,3,1
2018/12/6,0,0,5,0,7,10,7,0,0,Angry,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/6,0,2,1,2,0,1,0,0,0,Calm,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,3,1
2018/12/6,0,0,3,0,1,5,4,0,0,Happy,3,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,3,1
2018/12/6,0,0,0,3,2,1,3,5,3,Happy,3,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,3,1
2018/12/7,2,0,1,4,1,2,0,0,4,Calm,2,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/7,10,0,0,10,0,0,0,10,10,Angry,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/7,0,0,0,2,0,1,0,2,0,Calm,4,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/7,0,0,0,2,2,6,1,0,0,Happy,3,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,2,1
2018/12/7,0,1,0,3,3,10,2,2,5,Happy,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/8,0,1,0,4,3,2,0,0,0,Anxiety,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,3,1
2018/12/8,8,1,5,6,0,0,0,10,10,Angry,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/8,0,2,1,0,1,0,2,0,0,Calm,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,3,1
2018/12/8,0,0,1,0,1,4,1,0,0,Happy,2,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,3,1
2018/12/8,0,0,0,0,0,2,0,0,2,Calm,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,3,1
2018/12/9,0,1,0,0,1,3,0,0,0,Calm,2,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,1,1
2018/12/9,2,5,1,3,2,2,0,9,0,Angry,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/9,2,0,1,3,0,4,2,1,0,Angry,3,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,1,1
2018/12/9,0,0,2,2,0,2,2,0,0,Anxiety,2,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2018/12/9,8,0,0,0,1,3,0,3,7,Angry,3,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,1,1
2018/12/10,0,1,2,0,0,2,1,0,2,Calm,2,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,1,1
2018/12/10,0,0,2,0,6,10,10,0,2,Happy,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/10,9,3,4,5,3,3,4,4,8,Angry,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,1,1
2018/12/10,6,1,0,0,1,1,0,9,10,Angry,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,1,1
2018/12/10,3,0,0,0,0,0,0,2,5,Angry,3,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,1,1
2018/12/11,0,0,1,3,2,0,0,4,5,Anxiety,1,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,1,1
2018/12/11,2,0,2,6,1,0,1,0,4,Angry,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/11,5,0,0,7,1,5,3,1,0,Depress,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,1,1
2018/12/11,3,0,2,0,1,0,0,5,5,Angry,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,1,1
2018/12/11,0,0,0,4,0,0,1,0,0,Calm,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,1,1
2018/12/12,0,2,1,0,3,5,0,0,0,Angry,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,1,1
2018/12/12,0,0,3,2,0,1,1,0,7,Calm,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/12,0,0,2,4,2,7,4,0,0,Happy,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,1,1
2018/12/12,0,0,1,1,1,1,2,0,0,Anxiety,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
