日期,憤怒,羨慕,恐懼,悲傷,希望,快樂,愛,厭惡,不滿,評分,入睡,時常,平均,社交,遊戲,娛樂,其他,氣溫,濕度,日照,空氣品質
2018/12/1,2,0,0,0,6,10,12,1,0,10001,4 ,28800.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,22.00 ,76.00 ,80.00 ,77.00 
2018/12/2,0,0,1,0,6,10,6,0,0,10001,4 ,41400.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,23.00 ,75.00 ,89.50 ,53.00 
2018/12/3,9,0,3,0,3,10,7,3,10,10001,4 ,24000.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,21.20 ,88.00 ,89.60 ,100.00 
2018/12/4,10,0,1,8,0,3,0,6,10,10005,3 ,21000.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,23.00 ,80.00 ,74.50 ,68.00 
2018/12/5,7,0,5,0,0,4,0,3,6,10005,1 ,23700.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,22.40 ,80.00 ,1.90 ,40.00 
2018/12/6,0,0,5,0,7,10,7,0,0,10005,4 ,16200.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,22.20 ,89.00 ,14.20 ,39.00 
2018/12/7,10,0,0,10,0,0,0,10,10,10005,4 ,18900.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,17.70 ,90.00 ,1.90 ,38.00 
2018/12/8,8,1,5,6,0,0,0,10,10,10005,2 ,31500.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,17.70 ,85.00 ,20.80 ,33.00 
2018/12/9,2,5,1,3,2,2,0,9,0,10005,4 ,33300.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,17.70 ,89.00 ,0.00 ,32.00 
2018/12/10,0,0,2,0,6,10,10,0,2,10001,2 ,32400.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,20.00 ,94.00 ,0.00 ,29.00 
2018/12/11,2,0,2,6,1,0,1,0,4,10005,2 ,5400.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,18.90 ,94.00 ,0.00 ,31.00 
2018/12/12,0,0,3,2,0,1,1,0,7,10003,4 ,17700.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,14.50 ,89.00 ,0.00 ,42.00 
2018/12/13,0,0,1,0,0,0,5,0,1,10003,4 ,34200.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,16.80 ,84.00 ,0.00 ,35.00 
2018/12/14,0,0,2,4,1,1,1,2,2,10003,4 ,10800.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,17.80 ,84.00 ,3.80 ,39.00 
2018/12/15,7,0,2,0,3,10,10,8,7,10002,3 ,39600.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,20.40 ,76.00 ,38.00 ,39.00 
2018/12/16,0,0,0,0,3,8,6,0,1,10001,2 ,19500.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,19.30 ,86.00 ,1.90 ,37.00 
2018/12/17,3,0,3,0,3,4,7,0,0,10003,4 ,11700.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,14.80 ,68.00 ,41.80 ,61.00 
2018/12/18,9,0,0,0,1,5,3,5,10,10004,4 ,18900.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,16.40 ,61.00 ,89.30 ,51.00 
2018/12/19,0,0,0,0,1,8,5,0,0,10001,4 ,27000.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,20.00 ,62.00 ,89.30 ,84.00 
2018/12/20,6,0,0,8,3,7,4,4,7,10003,1 ,27000.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,19.30 ,76.00 ,89.30 ,61.00 
2018/12/21,0,0,0,0,2,3,4,0,0,10003,3 ,27300.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,21.70 ,78.00 ,72.20 ,56.00 
2018/12/22,0,0,0,0,3,9,8,0,0,10001,4 ,25200.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,21.50 ,89.00 ,82.70 ,84.00 
2018/12/23,2,0,0,0,5,10,8,0,0,10001,4 ,34200.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,19.10 ,96.00 ,0.00 ,44.00 
2018/12/24,4,0,0,0,0,1,4,3,5,10004,2 ,3600.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,16.80 ,93.00 ,0.00 ,44.00 
2018/12/25,0,0,2,0,4,8,3,0,0,10001,3 ,15000.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,20.70 ,94.00 ,1.90 ,28.00 
2018/12/26,0,0,0,1,3,4,4,1,0,10003,2 ,33180.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,19.50 ,98.00 ,0.00 ,35.00 
2018/12/27,10,0,3,0,2,8,2,2,10,10003,4 ,32400.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,16.00 ,95.00 ,0.00 ,39.00 
2018/12/28,0,0,0,4,4,7,5,0,0,10001,4 ,3600.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,13.70 ,91.00 ,0.00 ,39.00 
2018/12/29,0,0,2,0,10,10,9,0,0,10001,3 ,30600.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,12.60 ,86.00 ,2.80 ,39.00 
2018/12/30,1,2,1,3,3,2,3,4,5,10003,3 ,34200.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,14.90 ,86.00 ,0.00 ,28.00 
2018/12/31,10,10,10,10,0,0,0,10,10,10005,2 ,37800.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,15.70 ,93.00 ,0.00 ,36.00 
2019/1/3,8,0,0,0,2,5,3,8,10,10005,4 ,14580.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,18.40 ,94.00 ,0.00 ,28.00 
2019/1/4,5,0,2,5,2,5,6,0,0,10003,4 ,12720.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,21.30 ,88.00 ,59.60 ,35.00 
2019/1/15,5,2,2,1,3,8,6,0,2,10003,3 ,30600.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,19.60 ,91.00 ,0.00 ,45.00 
2019/1/16,3,0,3,0,4,6,7,0,5,10001,4 ,46800.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,15.80 ,94.00 ,0.00 ,51.00 
2019/1/19,0,0,0,0,1,7,4,0,0,10003,2 ,9000.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,17.90 ,80.00 ,51.20 ,64.00 
2019/1/20,0,0,2,0,5,10,9,0,0,10001,4 ,20400.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,17.00 ,88.00 ,6.50 ,79.00 
2019/1/21,0,0,0,0,3,7,6,0,0,10001,4 ,9000.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,14.40 ,89.00 ,0.00 ,47.00 
2019/1/22,0,0,5,5,4,9,4,0,0,10003,2 ,27000.00 ,76.00 ,3312.21 ,2680.03 ,3321.69 ,31.92 ,13.30 ,77.00 ,0.00 ,53.00 
